コード,銘柄名
1671,ＷＴＩ原油価格連動型上場投信
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信
1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）
1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託
1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託
1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託
1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託
1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託
1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託
1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託
1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託
1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託
1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託
1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託
1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託
1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信
170A,ＳＭＴ　ＥＴＦ日本好配当株アクティブ
178A,グローバルＸ　革新的優良企業　ＥＴＦ
179A,グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）
180A,グローバルＸ　超長期米国債　ＥＴＦ
181A,ＭＡＸＩＳ米国国債１－３年上場投信（為替ヘッジなし）
182A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）
183A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）
188A,グローバルＸ　インド・トップ１０＋　ＥＴＦ
200A,ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ
2013,ｉシェアーズ　米国高配当株　ＥＴＦ
2014,ｉシェアーズ　米国連続増配株　ＥＴＦ
2015,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）
2016,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）
2017,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０
2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ
2019,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）
201A,ｉシェアーズ　Ｎｉｆｔｙ　５０　インド株　ＥＴＦ
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ
2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ
2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ
2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ
2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ
